29,nonn,easy,nice,core,,,,,unkn,35,,unkn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,nonn,base,easy,nice,look,,,,less ,0,,less ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,nonn,easy,nice,core,,,,,allocated,0,,allocated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,nonn,nice,easy,core,,,,,probation,0,,chnaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,nonn,easy,,,,,,,recycled,0,,probation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,nonn,easy,,,,,,,,,,recycled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,core,easy,nonn,nice,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,sign,changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,easy,nonn,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,easy,nonn,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,core,nonn,nice,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,core,easy,nonn,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,base,easy,nonn,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,hard,nonn,nice,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,core,nonn,nice,easy,hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,nonn,core,easy,nice,changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,nonn,base,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,nonn,fini,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,nonn,fini,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,nonn,easy,nice,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,nonn,easy,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,nonn,nice,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,nonn,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,nonn,hard,more,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,easy,core,nonn,nice,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,nonn,easy,nice,hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,nonn,core,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,nonn,more,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,nonn,easy,core,nice,eigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,nonn,easy,nice,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,nonn,nice,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,nonn,core,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,nonn,easy,nice,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,core,nonn,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,nonn,nice,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,nonn,easy,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,nonn,easy,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,nonn,changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,nonn,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,nonn,nice,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,nonn,hard,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,nonn,nice,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,nonn,hard,nice,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,nonn,nice,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,core,nonn,easy,eigen,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,nonn,nice,hard,more,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,core,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,nonn,core,eigen,nice,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,nonn,hard,more,core,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,nonn,easy,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,nonn,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,nonn,easy,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,nonn,nice,look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
